"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,1,1,542,540,2,923,850,33,"AA",1141,"N619AA","JFK","MIA",160,1089,5,40,2013-01-01 05:00:00
2013,1,1,558,600,-2,924,917,7,"UA",194,"N29129","JFK","LAX",345,2475,6,0,2013-01-01 06:00:00
2013,1,1,611,600,11,945,931,14,"UA",303,"N532UA","JFK","SFO",366,2586,6,0,2013-01-01 06:00:00
2013,1,1,628,630,-2,1137,1140,-3,"AA",413,"N3BAAA","JFK","SJU",192,1598,6,30,2013-01-01 06:00:00
2013,1,1,656,659,-3,949,959,-10,"AA",1815,"N5FMAA","JFK","MCO",142,944,6,59,2013-01-01 06:00:00
2013,1,1,712,715,-3,1023,1035,-12,"AA",825,"N3ETAA","JFK","FLL",159,1069,7,15,2013-01-01 07:00:00
2013,1,1,743,730,13,1107,1100,7,"AA",33,"N338AA","JFK","LAX",358,2475,7,30,2013-01-01 07:00:00
2013,1,1,745,745,0,1135,1125,10,"AA",59,"N336AA","JFK","SFO",378,2586,7,45,2013-01-01 07:00:00
2013,1,1,803,810,-7,903,925,-22,"AA",1838,"N3GEAA","JFK","BOS",38,187,8,10,2013-01-01 08:00:00
2013,1,1,803,800,3,1132,1144,-12,"UA",223,"N510UA","JFK","SFO",369,2586,8,0,2013-01-01 08:00:00
2013,1,1,826,715,71,1136,1045,51,"AA",443,"N3GVAA","JFK","MIA",160,1089,7,15,2013-01-01 07:00:00
2013,1,1,829,830,-1,1152,1200,-8,"UA",443,"N554UA","JFK","LAX",360,2475,8,30,2013-01-01 08:00:00
2013,1,1,840,845,-5,1311,1350,-39,"AA",1357,"N5FSAA","JFK","SJU",188,1598,8,45,2013-01-01 08:00:00
2013,1,1,856,900,-4,1226,1220,6,"AA",1,"N324AA","JFK","LAX",358,2475,9,0,2013-01-01 09:00:00
2013,1,1,909,810,59,1331,1315,16,"AA",655,"N5EXAA","JFK","STT",184,1623,8,10,2013-01-01 08:00:00
2013,1,1,912,900,12,1241,1220,21,"AA",647,"N5CRAA","JFK","MIA",166,1089,9,0,2013-01-01 09:00:00
